population,mode,trade_mode,strategy_name,asset_class,close_reason,n,open_min,open_max,close_min,close_max,missing_close
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,defensive_hedge,crypto_spot,never_filled,1,2026-07-24 17:18:47.083000+00:00,2026-07-24 17:18:47.083000+00:00,2026-07-24 18:18:47.263000+00:00,2026-07-24 18:18:47.263000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,morning_star,crypto_spot,target_hit,38,2026-07-15 07:13:16.230000+00:00,2026-09-05 21:30:16.998000+00:00,2026-07-15 13:49:38.826000+00:00,2026-09-06 04:51:24.507000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,morning_star,crypto_spot,trailing_stop_hit,10,2026-08-09 08:22:14.045000+00:00,2026-08-22 00:29:33.774000+00:00,2026-08-09 14:05:33.060000+00:00,2026-08-22 05:10:34.663000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,morning_star,xstock_spot,stop_hit,1,2026-09-03 22:02:43.892000+00:00,2026-09-03 22:02:43.892000+00:00,2026-09-03 22:33:02.952000+00:00,2026-09-03 22:33:02.952000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,pivot_shift,crypto_spot,never_filled,17,2026-07-15 13:52:44.377000+00:00,2026-07-29 05:09:49.410000+00:00,2026-07-15 14:52:44.758000+00:00,2026-07-29 06:09:50.274000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,pivot_shift,crypto_spot,stop_hit,26,2026-07-15 06:26:16.240000+00:00,2026-08-25 02:30:13.539000+00:00,2026-07-15 13:49:13.398000+00:00,2026-08-25 13:28:52.078000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,pivot_shift,crypto_spot,target_hit,21,2026-07-15 20:13:03.212000+00:00,2026-08-23 09:00:30.183000+00:00,2026-07-16 01:18:34.921000+00:00,2026-08-23 13:19:02.179000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,pivot_shift,xstock_spot,stop_hit,1,2026-08-06 17:27:03.257000+00:00,2026-08-06 17:27:03.257000+00:00,2026-08-06 18:17:27.874000+00:00,2026-08-06 18:17:27.874000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,reverse_impulse,crypto_spot,never_filled,20,2026-07-15 18:41:03.272000+00:00,2026-08-01 10:38:10.851000+00:00,2026-07-15 19:41:04.089000+00:00,2026-08-01 11:38:11.155000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,reverse_impulse,crypto_spot,stop_hit,18,2026-07-15 06:42:46.239000+00:00,2026-08-25 02:07:43.699000+00:00,2026-07-15 13:57:34.763000+00:00,2026-08-25 03:49:17.329000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,reverse_impulse,crypto_spot,target_hit,24,2026-07-17 07:54:18.242000+00:00,2026-08-06 11:13:01.382000+00:00,2026-07-17 17:20:10.722000+00:00,2026-08-08 01:41:02.513000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,reverse_impulse,crypto_spot,trailing_stop_hit,2,2026-07-28 01:14:04.258000+00:00,2026-07-28 01:14:05.152000+00:00,2026-07-29 00:56:23.159000+00:00,2026-07-29 02:51:37.980000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,sma_trend_ride,crypto_spot,never_filled,5,2026-08-02 08:42:11.892000+00:00,2026-09-02 02:12:38.292000+00:00,2026-08-02 09:42:12.883000+00:00,2026-09-02 03:12:38.697000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,sma_trend_ride,crypto_spot,stop_hit,19,2026-07-17 03:01:17.340000+00:00,2026-09-04 04:25:45.335000+00:00,2026-07-17 08:00:33.030000+00:00,2026-09-04 14:49:04.183000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,sma_trend_ride,crypto_spot,target_hit,16,2026-07-17 01:35:17.326000+00:00,2026-09-05 13:31:46.530000+00:00,2026-07-17 02:18:20.102000+00:00,2026-09-05 18:13:11.626000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,sma_trend_ride,crypto_spot,,1,2026-09-06 07:08:17.762000+00:00,2026-09-06 07:08:17.762000+00:00,,,1
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,sma_trend_ride,xstock_spot,never_filled,3,2026-07-16 14:57:32.979000+00:00,2026-08-11 14:18:19.691000+00:00,2026-07-16 16:26:08.564000+00:00,2026-08-11 15:18:20.260000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,sma_trend_ride,xstock_spot,stop_hit,71,2026-07-16 20:21:04.795000+00:00,2026-09-02 13:50:59.929000+00:00,2026-07-16 20:21:06.574000+00:00,2026-09-03 00:15:02.451000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,sma_trend_ride,xstock_spot,target_hit,42,2026-07-20 10:11:12.303000+00:00,2026-08-28 16:25:28.269000+00:00,2026-07-21 03:46:12.250000+00:00,2026-08-29 00:15:03.807000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,support_bounce,crypto_spot,never_filled,14,2026-07-17 00:44:06.306000+00:00,2026-07-25 04:14:15.290000+00:00,2026-07-17 01:44:06.621000+00:00,2026-07-25 05:14:15.345000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,support_bounce,crypto_spot,stop_hit,21,2026-07-15 15:09:00.381000+00:00,2026-09-03 03:10:15.961000+00:00,2026-07-15 16:36:06.441000+00:00,2026-09-03 04:32:39.012000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,support_bounce,crypto_spot,target_hit,12,2026-07-15 08:53:14.134000+00:00,2026-07-29 22:14:08.261000+00:00,2026-07-15 13:49:22.545000+00:00,2026-07-30 09:04:22.595000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,volatility_edge,crypto_spot,never_filled,1,2026-07-16 12:52:05.713000+00:00,2026-07-16 12:52:05.713000+00:00,2026-07-16 13:52:05.968000+00:00,2026-07-16 13:52:05.968000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,volatility_edge,crypto_spot,stop_hit,3,2026-07-16 08:25:04.891000+00:00,2026-07-17 11:59:42.451000+00:00,2026-07-16 16:00:19.459000+00:00,2026-07-18 13:02:01.254000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,volatility_edge,crypto_spot,target_hit,7,2026-07-17 07:03:47.931000+00:00,2026-07-18 12:24:06.705000+00:00,2026-07-17 07:03:50.519000+00:00,2026-07-19 01:44:06.737000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_bounce,crypto_spot,never_filled,1,2026-07-18 04:18:57.722000+00:00,2026-07-18 04:18:57.722000+00:00,2026-07-18 05:18:58.856000+00:00,2026-07-18 05:18:58.856000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_bounce,crypto_spot,stop_hit,4,2026-07-15 07:40:16.273000+00:00,2026-08-10 13:47:17.295000+00:00,2026-07-15 07:46:09.555000+00:00,2026-08-10 13:54:56.477000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_bounce,crypto_spot,target_hit,2,2026-07-15 06:16:46.313000+00:00,2026-08-10 05:57:16.598000+00:00,2026-07-15 06:30:42.765000+00:00,2026-08-10 06:28:08.160000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,crypto_spot,stop_hit,2,2026-08-10 08:01:46.819000+00:00,2026-08-22 10:27:39.155000+00:00,2026-08-10 15:13:04.159000+00:00,2026-08-23 04:48:56.199000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,crypto_spot,target_hit,1,2026-08-12 04:19:20.323000+00:00,2026-08-12 04:19:20.323000+00:00,2026-08-19 21:15:11.032000+00:00,2026-08-19 21:15:11.032000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,crypto_spot,trailing_stop_hit,1,2026-07-30 09:08:25.226000+00:00,2026-07-30 09:08:25.226000+00:00,2026-07-30 12:33:14.380000+00:00,2026-07-30 12:33:14.380000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,crypto_spot,,1,2026-09-04 14:49:05.331000+00:00,2026-09-04 14:49:05.331000+00:00,,,1
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,xstock_spot,max_holding_period,4,2026-07-22 14:54:43.714000+00:00,2026-07-22 20:20:51.753000+00:00,2026-07-23 14:54:44.921000+00:00,2026-07-23 20:20:53.132000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,xstock_spot,never_filled,4,2026-07-16 15:01:51.034000+00:00,2026-07-28 11:56:30.254000+00:00,2026-07-16 16:26:08.449000+00:00,2026-07-28 12:56:30.508000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,xstock_spot,stop_hit,87,2026-07-16 15:58:21.601000+00:00,2026-09-03 13:47:17.702000+00:00,2026-07-16 20:20:26.478000+00:00,2026-09-03 20:33:22.576000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,xstock_spot,target_hit,48,2026-07-16 16:07:08.979000+00:00,2026-09-03 14:00:47.715000+00:00,2026-07-17 00:15:05.387000+00:00,2026-09-05 00:16:31.099000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,vwap_pullback,xstock_spot,,3,2026-09-02 14:25:59.854000+00:00,2026-09-03 01:53:15.916000+00:00,,,3
