population,asset_class,symbol,horizon_min,n_origins,rung,execution,hurdle_bps,fraction_signed_endpoint_above_hurdle,fraction_future_up_excursion_above_hurdle
"xstock_spot; A/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,A/USD,5,610,1,TT,20.02002002001957,0.12622950819672132,0.20163934426229507
"xstock_spot; A/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,A/USD,15,231,2,MM,-3.9992001599675753,0.4069264069264069,0.961038961038961
"xstock_spot; AAPL/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,5,2202,1,TT,20.02002002001957,0.05404178019981835,0.10263396911898275
"xstock_spot; AAPL/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,5,2202,1,MT,8.00800800800916,0.18755676657584014,0.3542234332425068
"xstock_spot; AAPL/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,5,2202,1,MM,-3.9992001599675753,0.6943687556766576,0.9986376021798365
"xstock_spot; AAPL/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,5,2202,2,TT,16.012810248198228,0.07493188010899182,0.14850136239782016
"xstock_spot; AAPL/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,5,2202,2,MT,6.004803843076001,0.2329700272479564,0.44686648501362397
"xstock_spot; AAPL/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,5,2202,2,MM,-3.9992001599675753,0.6943687556766576,0.9986376021798365
"xstock_spot; AAPL/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,15,1696,1,TT,20.02002002001957,0.15742924528301888,0.2847877358490566
"xstock_spot; AAPL/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,15,1696,1,MT,8.00800800800916,0.30542452830188677,0.6285377358490566
"xstock_spot; AAPL/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,15,1696,1,MM,-3.9992001599675753,0.5807783018867925,1.0
"xstock_spot; AAPL/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,15,1696,2,TT,16.012810248198228,0.19870283018867924,0.3632075471698113
"xstock_spot; AAPL/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,15,1696,2,MT,6.004803843076001,0.35377358490566035,0.7110849056603774
"xstock_spot; AAPL/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,15,1696,2,MM,-3.9992001599675753,0.5807783018867925,1.0
"xstock_spot; AAPL/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,60,1430,1,TT,20.02002002001957,0.293006993006993,0.6384615384615384
"xstock_spot; AAPL/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,60,1430,1,MT,8.00800800800916,0.4251748251748252,0.8496503496503497
"xstock_spot; AAPL/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,60,1430,1,MM,-3.9992001599675753,0.5776223776223777,1.0
"xstock_spot; AAPL/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,60,1430,2,TT,16.012810248198228,0.34475524475524477,0.7055944055944056
"xstock_spot; AAPL/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,60,1430,2,MT,6.004803843076001,0.45104895104895104,0.8797202797202798
"xstock_spot; AAPL/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,60,1430,2,MM,-3.9992001599675753,0.5776223776223777,1.0
"xstock_spot; AAPL/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,240,710,1,TT,20.02002002001957,0.3929577464788732,0.8690140845070422
"xstock_spot; AAPL/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,240,710,1,MT,8.00800800800916,0.4802816901408451,0.9422535211267605
"xstock_spot; AAPL/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,240,710,1,MM,-3.9992001599675753,0.5591549295774648,1.0
"xstock_spot; AAPL/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,240,710,2,TT,16.012810248198228,0.423943661971831,0.8943661971830986
"xstock_spot; AAPL/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,240,710,2,MT,6.004803843076001,0.49577464788732395,0.9591549295774648
"xstock_spot; AAPL/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,AAPL/USD,240,710,2,MM,-3.9992001599675753,0.5591549295774648,1.0
"xstock_spot; ABBV/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,5,981,1,TT,20.02002002001957,0.0652395514780836,0.1162079510703364
"xstock_spot; ABBV/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,5,981,1,MT,8.00800800800916,0.23343527013251783,0.40978593272171254
"xstock_spot; ABBV/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,5,981,1,MM,-3.9992001599675753,0.6676860346585117,0.9775739041794088
"xstock_spot; ABBV/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,5,981,2,TT,16.012810248198228,0.09887869520897044,0.17533129459734964
"xstock_spot; ABBV/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,5,981,2,MT,6.004803843076001,0.290519877675841,0.49745158002038736
"xstock_spot; ABBV/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,5,981,2,MM,-3.9992001599675753,0.6676860346585117,0.9775739041794088
"xstock_spot; ABBV/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,15,576,1,TT,20.02002002001957,0.14756944444444445,0.3333333333333333
"xstock_spot; ABBV/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,15,576,1,MT,8.00800800800916,0.3940972222222222,0.7204861111111112
"xstock_spot; ABBV/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,15,576,1,MM,-3.9992001599675753,0.6666666666666666,0.984375
"xstock_spot; ABBV/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,15,576,2,TT,16.012810248198228,0.21180555555555555,0.4513888888888889
"xstock_spot; ABBV/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,15,576,2,MT,6.004803843076001,0.4270833333333333,0.7690972222222222
"xstock_spot; ABBV/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,15,576,2,MM,-3.9992001599675753,0.6666666666666666,0.984375
"xstock_spot; ABBV/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,60,102,1,TT,20.02002002001957,0.5392156862745098,0.6470588235294118
"xstock_spot; ABBV/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,60,102,1,MT,8.00800800800916,0.5784313725490197,0.803921568627451
"xstock_spot; ABBV/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,60,102,1,MM,-3.9992001599675753,0.5882352941176471,1.0
"xstock_spot; ABBV/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,60,102,2,TT,16.012810248198228,0.5588235294117647,0.6666666666666666
"xstock_spot; ABBV/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,60,102,2,MT,6.004803843076001,0.5882352941176471,0.8529411764705882
"xstock_spot; ABBV/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABBV/USD,60,102,2,MM,-3.9992001599675753,0.5882352941176471,1.0
"xstock_spot; ABNB/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,5,1050,1,TT,20.02002002001957,0.09428571428571429,0.15714285714285714
"xstock_spot; ABNB/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,5,1050,1,MT,8.00800800800916,0.27904761904761904,0.4723809523809524
"xstock_spot; ABNB/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,5,1050,1,MM,-3.9992001599675753,0.6571428571428571,0.9761904761904762
"xstock_spot; ABNB/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,5,1050,2,TT,16.012810248198228,0.13904761904761906,0.22285714285714286
"xstock_spot; ABNB/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,5,1050,2,MT,6.004803843076001,0.3238095238095238,0.5561904761904762
"xstock_spot; ABNB/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,5,1050,2,MM,-3.9992001599675753,0.6571428571428571,0.9761904761904762
"xstock_spot; ABNB/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,15,579,1,TT,20.02002002001957,0.18307426597582038,0.3644214162348877
"xstock_spot; ABNB/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,15,579,1,MT,8.00800800800916,0.3626943005181347,0.687392055267703
"xstock_spot; ABNB/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,15,579,1,MM,-3.9992001599675753,0.5975820379965457,0.9827288428324698
"xstock_spot; ABNB/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,15,579,2,TT,16.012810248198228,0.229706390328152,0.4784110535405872
"xstock_spot; ABNB/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,15,579,2,MT,6.004803843076001,0.4006908462867012,0.7392055267702936
"xstock_spot; ABNB/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,15,579,2,MM,-3.9992001599675753,0.5975820379965457,0.9827288428324698
"xstock_spot; ABNB/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,60,36,1,TT,20.02002002001957,0.25,0.9166666666666666
"xstock_spot; ABNB/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,60,36,1,MT,8.00800800800916,0.2777777777777778,0.9166666666666666
"xstock_spot; ABNB/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,60,36,1,MM,-3.9992001599675753,0.3055555555555556,0.9444444444444444
"xstock_spot; ABNB/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,60,36,2,TT,16.012810248198228,0.25,0.9166666666666666
"xstock_spot; ABNB/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,60,36,2,MT,6.004803843076001,0.2777777777777778,0.9166666666666666
"xstock_spot; ABNB/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABNB/USD,60,36,2,MM,-3.9992001599675753,0.3055555555555556,0.9444444444444444
"xstock_spot; ABT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,5,1413,1,TT,20.02002002001957,0.06723283793347487,0.1075725406935598
"xstock_spot; ABT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,5,1413,1,MT,8.00800800800916,0.20311394196744514,0.35314932767162066
"xstock_spot; ABT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,5,1413,1,MM,-3.9992001599675753,0.6199575371549894,0.9830148619957537
"xstock_spot; ABT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,5,1413,2,TT,16.012810248198228,0.09483368719037509,0.16277423920736023
"xstock_spot; ABT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,5,1413,2,MT,6.004803843076001,0.24203821656050956,0.46496815286624205
"xstock_spot; ABT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,5,1413,2,MM,-3.9992001599675753,0.6199575371549894,0.9830148619957537
"xstock_spot; ABT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,15,1197,1,TT,20.02002002001957,0.13700918964076858,0.24561403508771928
"xstock_spot; ABT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,15,1197,1,MT,8.00800800800916,0.24561403508771928,0.5321637426900585
"xstock_spot; ABT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,15,1197,1,MM,-3.9992001599675753,0.49456975772765244,0.9841269841269841
"xstock_spot; ABT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,15,1197,2,TT,16.012810248198228,0.164578111946533,0.316624895572264
"xstock_spot; ABT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,15,1197,2,MT,6.004803843076001,0.27401837928153716,0.6140350877192983
"xstock_spot; ABT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,15,1197,2,MM,-3.9992001599675753,0.49456975772765244,0.9841269841269841
"xstock_spot; ABT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,60,548,1,TT,20.02002002001957,0.1332116788321168,0.3284671532846715
"xstock_spot; ABT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,60,548,1,MT,8.00800800800916,0.20437956204379562,0.6222627737226277
"xstock_spot; ABT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,60,548,1,MM,-3.9992001599675753,0.2664233576642336,0.9781021897810219
"xstock_spot; ABT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,60,548,2,TT,16.012810248198228,0.16058394160583941,0.4051094890510949
"xstock_spot; ABT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,60,548,2,MT,6.004803843076001,0.21715328467153286,0.7007299270072993
"xstock_spot; ABT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ABT/USD,60,548,2,MM,-3.9992001599675753,0.2664233576642336,0.9781021897810219
"xstock_spot; ACN/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,5,1481,1,TT,20.02002002001957,0.10600945307224847,0.17690749493585414
"xstock_spot; ACN/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,5,1481,1,MT,8.00800800800916,0.26806212018906145,0.4922349763673194
"xstock_spot; ACN/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,5,1481,1,MM,-3.9992001599675753,0.6191762322754896,0.9797434166103984
"xstock_spot; ACN/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,5,1481,2,TT,16.012810248198228,0.14044564483457123,0.2538825118163403
"xstock_spot; ACN/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,5,1481,2,MT,6.004803843076001,0.3234301147873059,0.5793382849426063
"xstock_spot; ACN/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,5,1481,2,MM,-3.9992001599675753,0.6191762322754896,0.9797434166103984
"xstock_spot; ACN/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,15,1360,1,TT,20.02002002001957,0.19411764705882353,0.375
"xstock_spot; ACN/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,15,1360,1,MT,8.00800800800916,0.35,0.6794117647058824
"xstock_spot; ACN/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,15,1360,1,MM,-3.9992001599675753,0.5632352941176471,0.9852941176470589
"xstock_spot; ACN/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,15,1360,2,TT,16.012810248198228,0.24191176470588235,0.45588235294117646
"xstock_spot; ACN/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,15,1360,2,MT,6.004803843076001,0.38235294117647056,0.7360294117647059
"xstock_spot; ACN/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,15,1360,2,MM,-3.9992001599675753,0.5632352941176471,0.9852941176470589
"xstock_spot; ACN/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,60,865,1,TT,20.02002002001957,0.3248554913294798,0.6404624277456648
"xstock_spot; ACN/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,60,865,1,MT,8.00800800800916,0.37109826589595374,0.8473988439306358
"xstock_spot; ACN/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,60,865,1,MM,-3.9992001599675753,0.461271676300578,0.9872832369942196
"xstock_spot; ACN/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,60,865,2,TT,16.012810248198228,0.33410404624277457,0.6971098265895954
"xstock_spot; ACN/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,60,865,2,MT,6.004803843076001,0.38265895953757223,0.8716763005780347
"xstock_spot; ACN/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",xstock_spot,ACN/USD,60,865,2,MM,-3.9992001599675753,0.461271676300578,0.9872832369942196
