population,asset_class,symbol,horizon_min,valid_origins,potential_row_offset_origins,origins_rejected_for_gaps,signed_endpoint_bps_p10,signed_endpoint_bps_p50,signed_endpoint_bps_p90,signed_endpoint_bps_p99,absolute_endpoint_bps_p10,absolute_endpoint_bps_p50,absolute_endpoint_bps_p90,absolute_endpoint_bps_p99,future_up_excursion_bps_p10,future_up_excursion_bps_p50,future_up_excursion_bps_p90,future_up_excursion_bps_p99,future_down_excursion_bps_p10,future_down_excursion_bps_p50,future_down_excursion_bps_p90,future_down_excursion_bps_p99
crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,0G/USD,5,196,1817,1621,-241.93548387096752,0.0,212.80063749637645,408.2469053195053,0.0,106.38297872340496,300.8702391139378,408.2469053195053,-40.32258064516125,81.30081300812941,267.4102674102674,530.6039488966335,0.0,81.63265306122436,308.3700440528636,403.5874439461884
crypto_spot; A/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,A/USD,240,0,194,194,,,,,,,,,,,,,,,,
crypto_spot; AAVE/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AAVE/USD,5,923,4507,3584,-51.34501537988489,-1.591596371159909,45.910347728541645,108.65658127142703,3.8179329832979114,22.896393817972704,61.29809218259431,122.71167059637781,-5.525385644259195,14.151646059883394,57.32633128132038,114.89483487756674,-4.773276174375951,15.598306469584156,61.572085167503474,117.27763784187634
crypto_spot; AAVE/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AAVE/USD,15,221,4497,4276,-100.53138015223118,-12.112036336108245,75.25870178739291,158.01944449828434,6.161904028343379,53.24813631522707,123.10811789412845,277.8058939790635,-0.7770007770002696,39.75712013878807,112.23750905141384,198.12762378067154,0.0,59.91481989460867,130.6263770853,476.00887695371165
crypto_spot; AAVE/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AAVE/USD,60,48,4452,4404,-155.52978966149422,28.585928782429715,126.74937661880773,181.65942881529935,27.304883040014662,94.47994557137406,170.10764630665665,186.95245628153396,77.55329038416315,129.3633012936324,168.20461626971306,207.37118931451067,6.642312917896298,49.13999717468698,164.57267826025912,202.1246911750572
crypto_spot; AAVE/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AAVE/USD,240,0,4272,4272,,,,,,,,,,,,,,,,
crypto_spot; AB/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AB/USD,5,0,36,36,,,,,,,,,,,,,,,,
crypto_spot; AB/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AB/USD,15,0,26,26,,,,,,,,,,,,,,,,
crypto_spot; AB/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AB/USD,60,0,0,0,,,,,,,,,,,,,,,,
crypto_spot; AB/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AB/USD,240,0,0,0,,,,,,,,,,,,,,,,
crypto_spot; ACA/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ACA/USD,5,3,119,116,-746.2096242584043,-487.8048780487809,-326.1324041811839,-289.75609756097464,326.1324041811839,487.8048780487809,746.2096242584043,804.3506921555696,249.17600527356674,270.27027027027196,739.7683397683413,845.4054054054069,374.9128919860618,731.7073170731703,794.9901120632823,809.2287409360574
crypto_spot; ACA/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ACA/USD,15,0,109,109,,,,,,,,,,,,,,,,
crypto_spot; ACA/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ACA/USD,60,0,64,64,,,,,,,,,,,,,,,,
crypto_spot; ACA/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ACA/USD,240,0,0,0,,,,,,,,,,,,,,,,
crypto_spot; ACH/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ACH/USD,5,2,737,735,54.937139863804106,57.29439497118905,59.65165007857399,60.182032477735596,54.937139863804106,57.29439497118905,59.65165007857399,60.182032477735596,83.04958966300103,197.85664396717362,312.6636982713462,338.4952854897851,4.016064257028162,20.080321285140812,36.14457831325346,39.75903614457881
crypto_spot; ACH/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ACH/USD,15,0,727,727,,,,,,,,,,,,,,,,
crypto_spot; ACH/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ACH/USD,60,0,682,682,,,,,,,,,,,,,,,,
crypto_spot; ACH/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ACH/USD,240,0,502,502,,,,,,,,,,,,,,,,
crypto_spot; ACT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ACT/USD,5,4,345,341,0.03920748601715829,72.45916820384889,84.09445643488134,86.74600270344871,40.579748026555286,72.45916820384889,84.09445643488134,86.74600270344871,32.86894244341144,87.04061895551175,93.67975325422174,96.24056219800987,0.0,9.652509652509078,73.3590733590729,94.20849420849396
crypto_spot; ACT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ACT/USD,15,0,335,335,,,,,,,,,,,,,,,,
crypto_spot; ACT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ACT/USD,60,0,290,290,,,,,,,,,,,,,,,,
crypto_spot; ACT/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ACT/USD,240,0,110,110,,,,,,,,,,,,,,,,
crypto_spot; ACU/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ACU/USD,5,675,3803,3128,-87.52763149080889,0.0,89.13252454946989,214.59968428979207,7.479532134256228,42.34297812279575,125.42576637948338,393.06427331841724,-7.270613107822621,27.681660899654403,119.09767410818573,262.52795280422464,-6.785288949336721,30.211480362536403,122.68987420911763,494.4766878263848
crypto_spot; ACU/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ACU/USD,15,179,3793,3614,-398.15962088425084,0.0,210.75637977046264,288.9831849653794,18.853299202417077,145.32871972318563,398.15962088425084,909.2579505300342,-6.559099275588176,118.11023622047223,279.31265574265535,332.5899464576955,12.846654582165945,85.6954515491093,543.7278025233996,954.0636042402817
crypto_spot; ACU/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ACU/USD,60,33,3748,3715,-680.4196376639873,-389.43894389438907,-108.68254073354477,-77.81521852489847,108.68254073354477,389.43894389438907,680.4196376639873,730.3847947297822,14.454664914585804,138.0670611439827,342.0523138832987,374.61752415053365,549.9664654594238,730.2631578947372,812.4648949315942,840.892128873958
crypto_spot; ACU/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ACU/USD,240,0,3568,3568,,,,,,,,,,,,,,,,
crypto_spot; ADA/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USD,5,4658,6984,2326,-29.861681388451796,0.1803090651175676,32.073201076206374,77.24650938489378,2.833572703994536,14.544004133008048,42.86408941129039,84.06601626949002,-1.4437304397262314,12.256566770662003,42.73928153958529,90.85364384041937,-1.757908561861532,11.662271721256111,39.10661764334034,74.79425033899305
crypto_spot; ADA/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USD,15,2809,6974,4165,-50.84609443550847,-1.7647857369107456,60.68562541913861,148.12379899494263,5.522361442843238,28.7338782754043,75.81701393941167,158.35154214933564,1.1888303050384688,25.636996295879122,85.78084856565977,178.85837130868785,1.3936815918029761,26.06164896684082,73.69349825620542,143.82401019827955
crypto_spot; ADA/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USD,60,953,6929,5976,-82.05526721199273,14.432710406964144,164.30583583577052,272.4807374561757,9.031573461947495,52.14884578713441,184.3322904523586,275.8249413440708,12.667687290594642,78.22182308037773,235.78502180820914,377.5044858998538,5.970392530252777,53.34455424041651,155.3165307673439,242.38954014063472
crypto_spot; ADA/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USD,240,246,6749,6503,17.20532028932076,103.52858113948483,415.9077224711705,648.0572909708092,24.10270915242929,104.0154160339979,415.9077224711705,648.0572909708092,99.10017261568815,180.14232386697083,535.5139073356208,659.6088389605659,3.215849547069105,39.77324147936834,97.74435676957683,144.25465850393198
crypto_spot; ADA/USDC; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USDC,5,180,2534,2354,-42.234759050202236,5.100211895285867,69.51172182640295,111.32308995986106,7.165478418131757,26.921637510623484,79.02717631371735,111.32308995986106,-2.6629181529834716,28.533587111974068,93.82104198041951,133.62173444422228,-6.3674668823086025,21.306724747415796,63.16979047520243,115.20960596192847
crypto_spot; ADA/USDC; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USDC,15,40,2524,2484,-42.54635096353066,59.890911147523205,132.56758655956105,187.5830538379935,15.023532293910513,71.72286499271374,132.56758655956105,187.5830538379935,80.65793206156125,140.4205917092416,177.4629887933663,189.71421465041036,-6.012908371562542,23.926208325688037,79.67375456787319,134.89867063444763
crypto_spot; ADA/USDC; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USDC,60,0,2479,2479,,,,,,,,,,,,,,,,
crypto_spot; ADA/USDC; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USDC,240,0,2299,2299,,,,,,,,,,,,,,,,
crypto_spot; ADA/USDT; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USDT,5,300,3334,3034,-43.14093797264717,-2.205075619861052,44.220415143783065,115.63874760318154,3.8873178813718656,19.50090812398164,59.872883049502576,141.04226903765013,-3.459473821184166,16.529459844670804,59.48321258140933,121.72736449471778,-6.614403405422076,16.404749457915038,61.38152228752281,159.64163306111064
crypto_spot; ADA/USDT; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USDT,15,32,3324,3292,-112.53818885507927,-4.067267947419072,120.5750476504886,227.08149612805337,16.066682633740005,76.49565380641599,153.30904803008477,300.42880681140656,4.6466072965174465,60.25160420598863,209.3557055756797,265.50680945239236,-15.012012836156163,46.38257169145732,163.92829797638544,347.4022421056791
crypto_spot; ADA/USDT; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USDT,60,0,3279,3279,,,,,,,,,,,,,,,,
crypto_spot; ADA/USDT; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ADA/USDT,240,0,3099,3099,,,,,,,,,,,,,,,,
crypto_spot; ADI/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ADI/USD,5,88,908,820,-24.672337170021486,-12.096843486618102,71.9779126491415,462.22419585625204,6.562817018253342,19.784660624267424,88.15029298130646,462.22419585625204,0.0,2.286089096844579,108.67340431607775,573.0051805761183,-0.9367236790529503,18.221943269665644,30.855879967839,208.71113055980888
crypto_spot; ADI/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ADI/USD,15,60,898,838,-67.6338946349142,-49.3661799042866,387.8964063156737,553.2765299734157,34.41686638920905,62.06172960365131,387.8964063156737,553.2765299734157,0.0,0.05952380952356506,468.30353041933563,625.7881573817194,-3.510213663995285,54.66188405757577,70.61124511512752,78.04823245005092
crypto_spot; ADI/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ADI/USD,60,1,853,852,-198.0633279866917,-198.0633279866917,-198.0633279866917,-198.0633279866917,198.0633279866917,198.0633279866917,198.0633279866917,198.0633279866917,0.2376284678917706,0.2376284678917706,0.2376284678917706,0.2376284678917706,220.51921820233966,220.51921820233966,220.51921820233966,220.51921820233966
crypto_spot; ADI/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ADI/USD,240,0,673,673,,,,,,,,,,,,,,,,
crypto_spot; AERO/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AERO/USD,5,219,2904,2685,-38.36980858466732,10.501995379121887,61.072166133871804,99.55185886404634,4.290430492904118,24.8704663212429,68.42498472220052,113.14796707261567,-1.8832979449390217,25.57544757033181,73.92169736945502,144.33211452547565,-10.908270312164792,11.98561725929026,61.73923368855284,155.34317809482266
crypto_spot; AERO/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AERO/USD,15,7,2894,2887,23.683528996722558,95.0771181069099,222.0929833578138,239.8890928563291,42.16704086397849,95.0771181069099,222.0929833578138,239.8890928563291,155.51721817436447,185.9285865201765,293.84434051798405,316.41354364083935,-9.767947910276575,0.0,40.83859654264523,64.57535303800776
crypto_spot; AERO/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AERO/USD,60,0,2849,2849,,,,,,,,,,,,,,,,
crypto_spot; AERO/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AERO/USD,240,0,2669,2669,,,,,,,,,,,,,,,,
crypto_spot; AEVO/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AEVO/USD,5,0,76,76,,,,,,,,,,,,,,,,
crypto_spot; AEVO/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AEVO/USD,15,0,66,66,,,,,,,,,,,,,,,,
crypto_spot; AEVO/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AEVO/USD,60,0,21,21,,,,,,,,,,,,,,,,
crypto_spot; AEVO/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AEVO/USD,240,0,0,0,,,,,,,,,,,,,,,,
crypto_spot; AI/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AI/USD,5,19,961,942,-53.263707571800765,0.0,76.8950531499408,111.07941539003336,5.160186313968751,26.301946344029492,76.8950531499408,111.07941539003336,3.166806420444646,15.69037656903749,76.8950531499408,111.07941539003336,5.254883890188022,31.36434918975528,83.55091383812075,87.7949056182107
crypto_spot; AI/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AI/USD,15,0,951,951,,,,,,,,,,,,,,,,
crypto_spot; AI/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AI/USD,60,0,906,906,,,,,,,,,,,,,,,,
crypto_spot; AI/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AI/USD,240,0,726,726,,,,,,,,,,,,,,,,
crypto_spot; AIN/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AIN/USD,5,2,429,427,-40.620995624319306,-12.578383784472841,15.46422805537362,21.773815719339073,24.990557772229806,35.053264799808076,45.11597182738635,47.38008090859147,23.270526017797664,26.453106027647387,29.635686037497113,30.3517665397133,45.217950686031514,46.2907053074757,47.36345992891988,47.60482971874482
crypto_spot; AIN/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AIN/USD,15,0,419,419,,,,,,,,,,,,,,,,
crypto_spot; AIN/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AIN/USD,60,0,374,374,,,,,,,,,,,,,,,,
crypto_spot; AIN/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AIN/USD,240,0,194,194,,,,,,,,,,,,,,,,
crypto_spot; AIO/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AIO/USD,5,1,406,405,68.01228609039089,68.01228609039089,68.01228609039089,68.01228609039089,68.01228609039089,68.01228609039089,68.01228609039089,68.01228609039089,263.27336551118964,263.27336551118964,263.27336551118964,263.27336551118964,13.163668275560925,13.163668275560925,13.163668275560925,13.163668275560925
crypto_spot; AIO/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AIO/USD,15,0,396,396,,,,,,,,,,,,,,,,
crypto_spot; AIO/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AIO/USD,60,0,351,351,,,,,,,,,,,,,,,,
crypto_spot; AIO/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AIO/USD,240,0,171,171,,,,,,,,,,,,,,,,
crypto_spot; AIOZ/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AIOZ/USD,5,3,355,352,30.37197133431935,84.74576271186419,125.6078961756506,134.80187620500254,30.37197133431935,84.74576271186419,125.6078961756506,134.80187620500254,47.18462063474061,101.69491525423791,142.5800696382842,151.77922937469458,-10.192512445684308,16.949152542372616,30.23546809236666,33.224889091115315
crypto_spot; AIOZ/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AIOZ/USD,15,0,345,345,,,,,,,,,,,,,,,,
crypto_spot; AIOZ/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AIOZ/USD,60,0,300,300,,,,,,,,,,,,,,,,
crypto_spot; AIOZ/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AIOZ/USD,240,0,120,120,,,,,,,,,,,,,,,,
crypto_spot; AIXBT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AIXBT/USD,5,3,220,217,-19.222577864059343,-15.182186234816708,-15.182186234816708,-15.182186234816708,15.182186234816708,15.182186234816708,19.222577864059343,20.131665980638935,16.188188458775787,20.24291497975783,20.24291497975783,20.24291497975783,15.182186234816708,15.182186234816708,19.222577864059343,20.131665980638935
crypto_spot; AIXBT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AIXBT/USD,15,0,210,210,,,,,,,,,,,,,,,,
crypto_spot; AIXBT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AIXBT/USD,60,0,165,165,,,,,,,,,,,,,,,,
crypto_spot; AIXBT/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AIXBT/USD,240,0,0,0,,,,,,,,,,,,,,,,
crypto_spot; AKE/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AKE/USD,5,2487,5377,2890,-259.31825739213133,14.309193715702495,293.9186763614129,868.9842601131596,17.37288341128407,109.30170958093677,453.7654430064262,1599.0772680452708,-3.9134153244650967,106.88383007237512,479.2088806698206,1357.6077779751165,-2.799316092392256,103.99617109246529,463.40166196210873,1901.9223839646181
crypto_spot; AKE/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AKE/USD,15,1391,5367,3976,-586.1266958972267,68.69698333226148,732.2391837980624,1499.3242027839121,50.24189626894437,286.5501731235487,964.3843174962518,2933.553229286244,31.250490079581805,341.25777866995446,1156.6466239052086,4052.4937601509396,29.20941925509957,284.33045290034653,1204.2583521632978,3051.1744754764054
crypto_spot; AKE/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AKE/USD,60,558,5322,4764,-1205.8357757347503,1098.7804680886093,2416.7914746785495,3334.2494554492,275.17889791850473,1467.3524041193386,2658.826349119766,4376.136531862309,624.0250771792468,1788.750979231385,6205.361329938784,10293.438534082656,54.34111389080909,687.4064180531125,2445.014971460716,4361.8817398710535
crypto_spot; AKE/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AKE/USD,240,191,5142,4951,-313.05542842330004,5695.875435984612,8264.76266237231,10287.95113717836,233.66060913639575,5695.875435984612,8264.76266237231,10287.95113717836,6202.9237155479295,8401.012217406696,17259.272229950388,18766.421425645076,62.83806931355218,452.9801833610514,1495.7134502923986,1818.3817280787107
crypto_spot; AKT/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,AKT/USD,5,150,2707,2557,-51.29924327502,-4.020142083538403,36.36232789567727,144.50805887010986,1.9094172709100965,17.785067954583788,63.553985247918874,223.6039423170932,-4.139321671369766,8.022698153585806,43.86076482259992,150.2535263516005,-2.202404057007001,11.83083871855728,60.75626658280529,261.6381249994039
crypto_spot; AKT/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,AKT/USD,15,0,2697,2697,,,,,,,,,,,,,,,,
crypto_spot; AKT/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,AKT/USD,60,0,2652,2652,,,,,,,,,,,,,,,,
crypto_spot; AKT/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,AKT/USD,240,0,2472,2472,,,,,,,,,,,,,,,,
crypto_spot; ALCX/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ALCX/USD,5,0,82,82,,,,,,,,,,,,,,,,
crypto_spot; ALCX/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ALCX/USD,15,0,72,72,,,,,,,,,,,,,,,,
crypto_spot; ALCX/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ALCX/USD,60,0,27,27,,,,,,,,,,,,,,,,
crypto_spot; ALCX/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,ALCX/USD,240,0,0,0,,,,,,,,,,,,,,,,
crypto_spot; ALEO/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,ALEO/USD,5,0,90,90,,,,,,,,,,,,,,,,
crypto_spot; ALEO/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,ALEO/USD,15,0,80,80,,,,,,,,,,,,,,,,
crypto_spot; ALEO/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,ALEO/USD,60,0,35,35,,,,,,,,,,,,,,,,
